mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4546915531158446,0.10660840919295386,0.2780491352081299,0.07084222289061239,42,600,5,1,0.7,20,True,"{'random_state': 42, 'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 20, 'bootstrap': True}",11.991993265657602,8.842030097809916,9.341861909333527,9.730610357385592,7.833532654157002,9.548005656868728,1.3774421454440857,3
0.4237227916717529,0.042086354301607884,0.14860982894897462,0.08107600790900778,42,200,2,4,0.5,16,True,"{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 16, 'bootstrap': True}",12.295960112358568,8.663220073375506,9.223127026975655,9.38066770440522,7.833483618410018,9.479291707104995,1.5088820443361193,15
1.4523802757263184,0.06722336722139181,0.13920307159423828,0.018545556794090933,42,400,2,4,0.5,,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': None, 'bootstrap': True}",12.287878014093959,8.646912839813647,9.3339270033595,9.227482311969675,7.810487092899049,9.461337452427165,1.5131984374286436,16
0.694407844543457,0.10553311569254742,0.07255563735961915,0.019186227789442827,42,200,10,1,0.7,8,True,"{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 8, 'bootstrap': True}",11.95806790653051,8.81414854323428,9.45315567486094,10.030786095762494,7.847712544547539,9.620774152987153,1.3750301945348125,1
0.8691946983337402,0.01955270579721465,0.08586587905883789,0.004606903726340569,42,400,5,1,sqrt,12,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': True}",11.812252856193723,8.657434742929611,9.080523510740475,8.792825293186185,7.951476407040526,9.258902562018104,1.3296444276077546,28
1.5774582386016847,0.040848028217532015,0.1907437801361084,0.05557100953406661,42,800,2,4,sqrt,12,True,"{'random_state': 42, 'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': True}",12.225802548967314,8.713286371420267,9.171431511852,8.593387561607651,7.790511087133088,9.298883816196064,1.5296362299891426,22
1.8556424140930177,0.27153386004060537,0.19146981239318847,0.028623764585428958,42,800,10,4,sqrt,12,True,"{'random_state': 42, 'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': True}",12.158513328948969,8.728476519938479,9.176987263876558,8.503881207983888,7.783506019017242,9.270272867953025,1.5127465277929781,25
0.4404257297515869,0.039128809695703,0.07821383476257324,0.023259199309610904,42,200,2,1,0.7,,True,"{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': None, 'bootstrap': True}",11.684262481557038,8.814481433196537,9.325981541105765,9.957201682109087,7.924990654048813,9.541383558403448,1.2611380210930299,6
0.7969218730926514,0.06435103573296383,0.13196845054626466,0.02904219018602797,42,300,5,1,0.5,16,True,"{'random_state': 42, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 16, 'bootstrap': True}",12.199628908294128,8.803869753408975,9.186735627412567,9.34591477614045,7.723530321150545,9.451935877281334,1.4858508745138987,18
1.1151309967041017,0.13742084699390378,0.12639312744140624,0.031279261032967666,42,400,10,1,0.5,8,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 8, 'bootstrap': True}",11.995274315621085,8.764024651409951,9.254772607797472,9.497839610879522,7.698875203703138,9.442157277882234,1.4181337309593598,19
0.5103646755218506,0.06947394541496604,0.0847104549407959,0.029229531972484638,42,200,10,4,0.5,8,True,"{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 8, 'bootstrap': True}",12.240400225354641,8.65737465422523,9.330241872595654,9.41884642097602,7.940216103136628,9.517415855257635,1.46195922231207,12
0.8916913509368897,0.06769177857732024,0.0888096809387207,0.007099834346981786,42,400,5,1,sqrt,20,True,"{'random_state': 42, 'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",11.812252856193723,8.657158955178955,9.101742580417001,8.7991918662486,7.980032100290452,9.270075671665747,1.3230730699960418,26
0.43581137657165525,0.03804392754855201,0.0635561466217041,0.009327880256365662,42,200,10,1,sqrt,8,True,"{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 8, 'bootstrap': True}",11.588808590614518,8.78153317071841,9.227501631285861,9.001667491688957,7.90556163397211,9.301014503655972,1.2285083741741187,21
1.6306058406829833,0.03693829897246171,0.2541471004486084,0.04157722690608331,42,800,10,2,sqrt,8,True,"{'random_state': 42, 'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 8, 'bootstrap': True}",11.997416294504134,8.710078347595859,9.201392148313472,8.671056867637144,7.829052329929534,9.281799197596028,1.4276824504095629,23
